Request_Number,SRC,EPT,DEST,LDT,MHT
98,18,0,1,0,0
1,1,30,6,75,10
100,6,0,0,0,10
0,0,30,10,90,10
100,10,0,4,0,10
3,4,90,17,120,10
100,17,0,11,0,10
6,11,150,6,201,10
100,6,0,12,0,10
7,12,240,7,430,10
100,7,0,4,0,10
10,4,350,14,461,10
100,14,0,16,0,10
9,16,320,13,506,10
100,13,0,4,0,10
12,4,425,17,547,10
100,17,0,5,0,10
13,5,458,13,600,10
100,13,0,11,0,10
15,11,524,6,623,10
100,6,0,12,0,10
16,12,561.284940442,7,714,10
99,7,0,19,0,10
100,19,0,4,0,0
19,4,656,14,726,10
100,14,0,16,0,10
18,16,623,13,804,10
