0,4.466,5.466,6.466152619,14.8,15.8,16.8,17.8,22.244,21.178,20.11114516,15.489,14.489,13.489,12.489,13.11161539,12,10.955,10.4,19.62106017
4.466,0,4.466,5.466152619,13.8,14.8,15.8,16.8,21.244,20.178,19.11114516,14.489,13.489,12.489,11.489,12.11161539,11,9.955,9.4,18.62106017
5.466,4.466,0,4.466152619,12.8,13.8,14.8,15.8,20.244,19.178,18.11114516,13.489,12.489,11.489,10.489,11.11161539,10,8.955,8.4,17.62106017
6.466152619,5.466152619,4.466152619,0,11.80015262,12.80015262,13.80015262,14.80015262,19.24415262,18.17815262,17.11129778,12.48915262,11.48915262,10.48915262,9.489152619,10.11176801,9.000152619,7.955152619,7.400152619,16.62121279
14.8,13.8,12.8,11.80015262,0,5.266,6.266,7.266,11.71,10.644,9.577145165,10.155,9.155,8.155,7.155,12.44561539,11.334,10.289,9.734,11.57706017
15.8,14.8,13.8,12.80015262,5.266,0,5.266,6.266,10.71,9.644,8.577145165,9.155,8.155,7.155,8.155,13.44561539,12.334,11.289,10.734,10.57706017
16.8,15.8,14.8,13.80015262,6.266,5.266,0,5.266,9.71,8.644,7.577145165,8.155,7.155,8.155,9.155,14.44561539,13.334,12.289,11.734,9.577060169
17.8,16.8,15.8,14.80015262,7.266,6.266,5.266,0,8.71,7.644,6.577145165,7.155,8.155,9.155,10.155,15.44561539,14.334,13.289,12.734,8.577060169
22.244,21.244,20.244,19.24415262,11.71,10.71,9.71,8.71,0,4.4,5.467145165,11.599,12.599,13.599,14.599,19.88961539,18.778,17.733,17.178,10.66706017
21.178,20.178,19.178,18.17815262,10.644,9.644,8.644,7.644,4.4,0,4.401145165,10.533,11.533,12.533,13.533,18.82361539,17.712,16.667,16.112,9.601060169
20.11114516,19.11114516,18.11114516,17.11129778,9.577145165,8.577145165,7.577145165,6.577145165,5.467145165,4.401145165,0,9.466145165,10.46614516,11.46614516,12.46614516,17.75676055,16.64514516,15.60014516,15.04514516,8.534205333
15.489,14.489,13.489,12.48915262,10.155,9.155,8.155,7.155,11.599,10.533,9.466145165,0,5.844,6.844,7.844,13.13461539,12.023,10.978,10.423,8.976060169
14.489,13.489,12.489,11.48915262,9.155,8.155,7.155,8.155,12.599,11.533,10.46614516,5.844,0,5.844,6.844,12.13461539,11.023,9.978,9.423,9.976060169
13.489,12.489,11.489,10.48915262,8.155,7.155,8.155,9.155,13.599,12.533,11.46614516,6.844,5.844,0,5.844,11.13461539,10.023,8.978,8.423,10.97606017
12.489,11.489,10.489,9.489152619,7.155,8.155,9.155,10.155,14.599,13.533,12.46614516,7.844,6.844,5.844,0,10.13461539,9.023,7.978,7.423,11.97606017
13.11161539,12.11161539,11.11161539,10.11176801,12.44561539,13.44561539,14.44561539,15.44561539,19.88961539,18.82361539,17.75676055,13.13461539,12.13461539,11.13461539,10.13461539,0,4.401615386,5.446615386,8.045615386,17.26667556
12,11,10,9.000152619,11.334,12.334,13.334,14.334,18.778,17.712,16.64514516,12.023,11.023,10.023,9.023,4.401615386,0,4.335,6.934,16.15506017
10.955,9.955,8.955,7.955152619,10.289,11.289,12.289,13.289,17.733,16.667,15.60014516,10.978,9.978,8.978,7.978,5.446615386,4.335,0,5.889,15.11006017
10.4,9.4,8.4,7.400152619,9.734,10.734,11.734,12.734,17.178,16.112,15.04514516,10.423,9.423,8.423,7.423,8.045615386,6.934,5.889,0,14.55506017
19.62106017,18.62106017,17.62106017,16.62121279,11.57706017,10.57706017,9.577060169,8.577060169,10.66706017,9.601060169,8.534205333,8.976060169,9.976060169,10.97606017,11.97606017,17.26667556,16.15506017,15.11006017,14.55506017,0
